TicksTime,BallPosX,BallPosY,BallSpeed,PosB,PosPC,ScoreB,ScorePC
26826,1087,36,4,307,84,0,0
,,,,,,,
26841,1091,40,4,307,84,0,0
,,,,,,,
26855,1095,44,4,307,84,0,0
,,,,,,,
26870,1099,48,4,307,84,0,0
,,,,,,,
26884,1103,52,4,307,84,0,0
,,,,,,,
26898,1107,56,4,307,84,0,0
,,,,,,,
26911,1111,60,4,307,84,0,0
,,,,,,,
26924,1115,64,4,307,84,0,0
,,,,,,,
26939,1119,68,4,307,84,0,0
,,,,,,,
26953,1123,72,4,307,84,0,0
,,,,,,,
26966,1127,76,4,307,84,0,0
,,,,,,,
26978,1131,80,4,307,84,0,0
,,,,,,,
26993,1135,84,4,307,84,0,0
,,,,,,,
27007,1139,88,4,307,84,0,0
,,,,,,,
27018,1143,92,4,307,84,0,0
,,,,,,,
27032,1147,96,4,307,84,0,0
,,,,,,,
27044,1151,100,4,307,84,0,0
,,,,,,,
27057,1155,104,4,307,90,0,0
,,,,,,,
27072,1159,108,4,307,90,0,0
,,,,,,,
27083,1163,112,4,307,90,0,0
,,,,,,,
27095,1167,116,4,307,90,0,0
,,,,,,,
27110,1171,120,4,307,90,0,0
,,,,,,,
27124,1175,124,4,307,90,0,0
,,,,,,,
27139,1179,128,4,307,90,0,0
,,,,,,,
27152,1183,132,4,307,90,0,0
,,,,,,,
27165,1187,136,4,307,96,0,0
,,,,,,,
27177,1191,140,4,307,96,0,0
,,,,,,,
27190,1195,144,4,307,96,0,0
,,,,,,,
27205,1199,148,4,307,96,0,0
,,,,,,,
27218,1203,152,4,307,96,0,0
,,,,,,,
27232,1207,156,4,307,96,0,0
,,,,,,,
27244,1211,160,4,307,96,0,0
,,,,,,,
27258,1215,164,4,307,96,0,0
,,,,,,,
27273,1219,168,4,307,102,0,0
,,,,,,,
27286,1223,172,4,307,102,0,0
,,,,,,,
27301,1227,176,4,307,102,0,0
,,,,,,,
27317,1231,180,4,307,102,0,0
,,,,,,,
27333,1235,184,4,307,102,0,0
,,,,,,,
27347,1239,188,4,307,108,0,0
,,,,,,,
27360,1243,192,4,307,108,0,0
,,,,,,,
27373,1247,196,4,307,108,0,0
,,,,,,,
27388,1251,200,4,307,108,0,0
,,,,,,,
27400,1255,204,4,307,108,0,0
,,,,,,,
27415,1259,208,4,307,108,0,0
,,,,,,,
27426,1263,212,4,307,108,0,0
,,,,,,,
27440,1267,216,4,307,108,0,0
,,,,,,,
27452,1271,220,4,307,114,0,0
,,,,,,,
27466,1275,224,4,307,114,0,0
,,,,,,,
27481,1279,228,4,307,120,0,0
,,,,,,,
27494,1283,232,4,307,120,0,0
,,,,,,,
27508,1287,236,4,307,120,0,0
,,,,,,,
27523,1291,240,4,307,120,0,0
,,,,,,,
27536,1295,244,4,307,120,0,0
,,,,,,,
27551,1299,248,4,307,120,0,0
,,,,,,,
27565,1295,252,4,307,120,0,0
,,,,,,,
27576,1291,256,4,307,120,0,0
,,,,,,,
27589,1287,260,4,307,120,0,0
,,,,,,,
27602,1283,264,4,307,120,0,0
,,,,,,,
27615,1279,268,4,307,120,0,0
,,,,,,,
27628,1275,272,4,307,120,0,0
,,,,,,,
27640,1271,276,4,307,120,0,0
,,,,,,,
27655,1267,280,4,307,120,0,0
,,,,,,,
27666,1263,284,4,307,120,0,0
,,,,,,,
27679,1259,288,4,307,120,0,0
,,,,,,,
27692,1255,292,4,307,120,0,0
,,,,,,,
27706,1251,296,4,307,120,0,0
,,,,,,,
27718,1247,300,4,307,120,0,0
,,,,,,,
27733,1243,304,4,307,120,0,0
,,,,,,,
27748,1239,308,4,307,120,0,0
,,,,,,,
27760,1235,312,4,307,120,0,0
,,,,,,,
27773,1231,316,4,307,120,0,0
,,,,,,,
27785,1227,320,4,307,120,0,0
,,,,,,,
27798,1223,324,4,307,120,0,0
,,,,,,,
27810,1219,328,4,307,120,0,0
,,,,,,,
27824,1215,332,4,307,120,0,0
,,,,,,,
27837,1211,336,4,307,120,0,0
,,,,,,,
27849,1207,340,4,307,120,0,0
,,,,,,,
27862,1203,344,4,307,120,0,0
,,,,,,,
27876,1199,348,4,307,120,0,0
,,,,,,,
27889,1195,352,4,307,120,0,0
,,,,,,,
27903,1191,356,4,307,120,0,0
,,,,,,,
27917,1187,360,4,307,120,0,0
,,,,,,,
27932,1183,364,4,307,120,0,0
,,,,,,,
27945,1179,368,4,307,120,0,0
,,,,,,,
27957,1175,372,4,307,120,0,0
,,,,,,,
27972,1171,376,4,307,120,0,0
,,,,,,,
27985,1167,380,4,307,120,0,0
,,,,,,,
28001,1163,384,4,307,120,0,0
,,,,,,,
28014,1159,388,4,307,120,0,0
,,,,,,,
28027,1155,392,4,307,120,0,0
,,,,,,,
28040,1151,396,4,307,120,0,0
,,,,,,,
28055,1147,400,4,307,120,0,0
,,,,,,,
28068,1143,404,4,307,120,0,0
,,,,,,,
28083,1139,408,4,307,120,0,0
,,,,,,,
