M-A,M-B,S-A,S-B,M-C,M-D,S-C,S-D,M-E,M-F,S-E,S-F,All
,671.0,702.0,,,845.0,,781.0,830.0,,,837.0,781.0
,671.0,702.0,,,845.0,,781.0,830.0,,,837.0,830.0
,671.0,702.0,,,845.0,,781.0,830.0,,,837.0,837.0
783.0,,,614.0,626.0,,710.0,,,730.0,817.0,,783.0
783.0,,,614.0,626.0,,710.0,,,730.0,817.0,,614.0
783.0,,,614.0,626.0,,710.0,,,730.0,817.0,,626.0
783.0,,,614.0,626.0,,710.0,,,730.0,817.0,,710.0
783.0,,,614.0,626.0,,710.0,,,730.0,817.0,,730.0
783.0,,,614.0,626.0,,710.0,,,730.0,817.0,,817.0
,654.0,709.0,,638.0,,,775.0,817.0,,,817.0,654.0
,654.0,709.0,,638.0,,,775.0,817.0,,,817.0,709.0
,654.0,709.0,,638.0,,,775.0,817.0,,,817.0,638.0
,654.0,709.0,,638.0,,,775.0,817.0,,,817.0,775.0
,654.0,709.0,,638.0,,,775.0,817.0,,,817.0,817.0
,654.0,709.0,,638.0,,,775.0,817.0,,,817.0,817.0
816.0,,,607.0,,846.0,682.0,,,739.0,790.0,,816.0
816.0,,,607.0,,846.0,682.0,,,739.0,790.0,,607.0
816.0,,,607.0,,846.0,682.0,,,739.0,790.0,,846.0
816.0,,,607.0,,846.0,682.0,,,739.0,790.0,,682.0
816.0,,,607.0,,846.0,682.0,,,739.0,790.0,,739.0
816.0,,,607.0,,846.0,682.0,,,739.0,790.0,,790.0
,658.0,727.0,,649.0,,,766.0,,750.0,,821.0,658.0
,658.0,727.0,,649.0,,,766.0,,750.0,,821.0,727.0
,658.0,727.0,,649.0,,,766.0,,750.0,,821.0,649.0
,658.0,727.0,,649.0,,,766.0,,750.0,,821.0,766.0
,658.0,727.0,,649.0,,,766.0,,750.0,,821.0,750.0
,658.0,727.0,,649.0,,,766.0,,750.0,,821.0,821.0
759.0,,,618.0,,829.0,670.0,,792.0,,798.0,,759.0
759.0,,,618.0,,829.0,670.0,,792.0,,798.0,,618.0
759.0,,,618.0,,829.0,670.0,,792.0,,798.0,,829.0
759.0,,,618.0,,829.0,670.0,,792.0,,798.0,,670.0
759.0,,,618.0,,829.0,670.0,,792.0,,798.0,,792.0
759.0,,,618.0,,829.0,670.0,,792.0,,798.0,,798.0
,671.0,740.0,,648.0,,,747.0,,772.0,,837.0,671.0
,671.0,740.0,,648.0,,,747.0,,772.0,,837.0,740.0
,671.0,740.0,,648.0,,,747.0,,772.0,,837.0,648.0
,671.0,740.0,,648.0,,,747.0,,772.0,,837.0,747.0
,671.0,740.0,,648.0,,,747.0,,772.0,,837.0,772.0
,671.0,740.0,,648.0,,,747.0,,772.0,,837.0,837.0
775.0,,,624.0,,817.0,651.0,,792.0,,803.0,,775.0
775.0,,,624.0,,817.0,651.0,,792.0,,803.0,,624.0
775.0,,,624.0,,817.0,651.0,,792.0,,803.0,,817.0
775.0,,,624.0,,817.0,651.0,,792.0,,803.0,,651.0
775.0,,,624.0,,817.0,651.0,,792.0,,803.0,,792.0
775.0,,,624.0,,817.0,651.0,,792.0,,803.0,,803.0
,684.0,702.0,,629.0,,,788.0,,772.0,,812.0,684.0
,684.0,702.0,,629.0,,,788.0,,772.0,,812.0,702.0
,684.0,702.0,,629.0,,,788.0,,772.0,,812.0,629.0
,684.0,702.0,,629.0,,,788.0,,772.0,,812.0,788.0
,684.0,702.0,,629.0,,,788.0,,772.0,,812.0,772.0
,684.0,702.0,,629.0,,,788.0,,772.0,,812.0,812.0
,690.0,,635.0,627.0,,627.0,,781.0,,813.0,,690.0
,690.0,,635.0,627.0,,627.0,,781.0,,813.0,,635.0
,690.0,,635.0,627.0,,627.0,,781.0,,813.0,,627.0
,690.0,,635.0,627.0,,627.0,,781.0,,813.0,,627.0
,690.0,,635.0,627.0,,627.0,,781.0,,813.0,,781.0
,690.0,,635.0,627.0,,627.0,,781.0,,813.0,,813.0
769.0,,701.0,,,808.0,615.0,,,745.0,,819.0,769.0
769.0,,701.0,,,808.0,615.0,,,745.0,,819.0,701.0
769.0,,701.0,,,808.0,615.0,,,745.0,,819.0,808.0
769.0,,701.0,,,808.0,615.0,,,745.0,,819.0,615.0
769.0,,701.0,,,808.0,615.0,,,745.0,,819.0,745.0
769.0,,701.0,,,808.0,615.0,,,745.0,,819.0,819.0
,686.0,,637.0,623.0,,,765.0,793.0,,812.0,,686.0
,686.0,,637.0,623.0,,,765.0,793.0,,812.0,,637.0
,686.0,,637.0,623.0,,,765.0,793.0,,812.0,,623.0
,686.0,,637.0,623.0,,,765.0,793.0,,812.0,,765.0
,686.0,,637.0,623.0,,,765.0,793.0,,812.0,,793.0
,686.0,,637.0,623.0,,,765.0,793.0,,812.0,,812.0
719.0,,,633.0,,795.0,606.0,,,767.0,811.0,,719.0
719.0,,,633.0,,795.0,606.0,,,767.0,811.0,,633.0
719.0,,,633.0,,795.0,606.0,,,767.0,811.0,,795.0
719.0,,,633.0,,795.0,606.0,,,767.0,811.0,,606.0
719.0,,,633.0,,795.0,606.0,,,767.0,811.0,,767.0
719.0,,,633.0,,795.0,606.0,,,767.0,811.0,,811.0
,679.0,705.0,,616.0,,,781.0,824.0,,,821.0,679.0
,679.0,705.0,,616.0,,,781.0,824.0,,,821.0,705.0
,679.0,705.0,,616.0,,,781.0,824.0,,,821.0,616.0
,679.0,705.0,,616.0,,,781.0,824.0,,,821.0,781.0
,679.0,705.0,,616.0,,,781.0,824.0,,,821.0,824.0
,679.0,705.0,,616.0,,,781.0,824.0,,,821.0,821.0
725.0,,,630.0,,783.0,602.0,,,794.0,,779.0,725.0
725.0,,,630.0,,783.0,602.0,,,794.0,,779.0,630.0
725.0,,,630.0,,783.0,602.0,,,794.0,,779.0,783.0
725.0,,,630.0,,783.0,602.0,,,794.0,,779.0,602.0
725.0,,,630.0,,783.0,602.0,,,794.0,,779.0,794.0
725.0,,,630.0,,783.0,602.0,,,794.0,,779.0,779.0
,698.0,720.0,,620.0,,,793.0,816.0,,794.0,,698.0
,698.0,720.0,,620.0,,,793.0,816.0,,794.0,,720.0
,698.0,720.0,,620.0,,,793.0,816.0,,794.0,,620.0
,698.0,720.0,,620.0,,,793.0,816.0,,794.0,,793.0
,698.0,720.0,,620.0,,,793.0,816.0,,794.0,,816.0
,698.0,720.0,,620.0,,,793.0,816.0,,794.0,,794.0
772.0,,,623.0,,764.0,600.0,,,828.0,,782.0,772.0
772.0,,,623.0,,764.0,600.0,,,828.0,,782.0,623.0
772.0,,,623.0,,764.0,600.0,,,828.0,,782.0,764.0
772.0,,,623.0,,764.0,600.0,,,828.0,,782.0,600.0
772.0,,,623.0,,764.0,600.0,,,828.0,,782.0,828.0
772.0,,,623.0,,764.0,600.0,,,828.0,,782.0,782.0
,720.0,696.0,,628.0,,,797.0,797.0,,777.0,,720.0
,720.0,696.0,,628.0,,,797.0,797.0,,777.0,,696.0
,720.0,696.0,,628.0,,,797.0,797.0,,777.0,,628.0
,720.0,696.0,,628.0,,,797.0,797.0,,777.0,,797.0
,720.0,696.0,,628.0,,,797.0,797.0,,777.0,,797.0
,720.0,696.0,,628.0,,,797.0,797.0,,777.0,,777.0
782.0,,,624.0,631.0,,621.0,,,793.0,756.0,,782.0
782.0,,,624.0,631.0,,621.0,,,793.0,756.0,,624.0
782.0,,,624.0,631.0,,621.0,,,793.0,756.0,,631.0
782.0,,,624.0,631.0,,621.0,,,793.0,756.0,,621.0
782.0,,,624.0,631.0,,621.0,,,793.0,756.0,,793.0
782.0,,,624.0,631.0,,621.0,,,793.0,756.0,,756.0
,707.0,693.0,,,759.0,656.0,,828.0,,,791.0,707.0
,707.0,693.0,,,759.0,656.0,,828.0,,,791.0,693.0
,707.0,693.0,,,759.0,656.0,,828.0,,,791.0,759.0
,707.0,693.0,,,759.0,656.0,,828.0,,,791.0,656.0
,707.0,693.0,,,759.0,656.0,,828.0,,,791.0,828.0
,707.0,693.0,,,759.0,656.0,,828.0,,,791.0,791.0
744.0,,,647.0,633.0,,,790.0,,795.0,746.0,,744.0
744.0,,,647.0,633.0,,,790.0,,795.0,746.0,,647.0
744.0,,,647.0,633.0,,,790.0,,795.0,746.0,,633.0
744.0,,,647.0,633.0,,,790.0,,795.0,746.0,,790.0
744.0,,,647.0,633.0,,,790.0,,795.0,746.0,,795.0
744.0,,,647.0,633.0,,,790.0,,795.0,746.0,,746.0
,695.0,704.0,,,772.0,668.0,,835.0,,,752.0,695.0
,695.0,704.0,,,772.0,668.0,,835.0,,,752.0,704.0
,695.0,704.0,,,772.0,668.0,,835.0,,,752.0,772.0
,695.0,704.0,,,772.0,668.0,,835.0,,,752.0,668.0
,695.0,704.0,,,772.0,668.0,,835.0,,,752.0,835.0
,695.0,704.0,,,772.0,668.0,,835.0,,,752.0,752.0
777.0,,,687.0,643.0,,,788.0,,785.0,748.0,,777.0
777.0,,,687.0,643.0,,,788.0,,785.0,748.0,,687.0
