Instante,RR_E,RR_F,Pos_E,Pos_F,Delta_PosE,Delta_PosF
284800.0,770.0,786.0,217.0,85.0,0.0,136.0
285600.0,788.0,749.0,217.0,286.0,0.0,75.0
286400.0,795.0,735.0,217.0,540.0,196.0,167.0
287200.0,803.0,755.0,217.0,540.0,147.0,67.0
288000.0,790.0,790.0,287.0,540.0,0.0,88.0
288800.0,774.0,787.0,287.0,540.0,147.0,0.0
289600.0,777.0,802.0,287.0,631.0,0.0,196.0
290400.0,790.0,781.0,287.0,290.0,0.0,119.0
291200.0,804.0,750.0,287.0,165.0,0.0,100.0
292000.0,832.0,758.0,328.0,162.0,0.0,40.0
292800.0,840.0,772.0,567.0,162.0,0.0,111.0
293600.0,828.0,780.0,357.0,211.0,0.0,1.0
294400.0,796.0,744.0,441.0,211.0,0.0,154.0
295200.0,788.0,760.0,441.0,211.0,112.0,0.0
296000.0,796.0,788.0,581.0,211.0,34.0,0.0
296800.0,797.0,793.0,469.0,211.0,204.0,110.0
297600.0,805.0,801.0,372.0,211.0,0.0,23.0
298400.0,815.0,802.0,21.0,211.0,0.0,26.0
299200.0,837.0,793.0,217.0,211.0,0.0,107.0
300000.0,842.0,760.0,217.0,211.0,0.0,21.0
300800.0,796.0,768.0,217.0,211.0,0.0,160.0
301600.0,779.0,797.0,217.0,211.0,0.0,71.0
302400.0,785.0,808.0,217.0,57.0,255.0,0.0
303200.0,790.0,789.0,217.0,0.0,383.0,0.0
304000.0,805.0,811.0,399.0,0.0,84.0,0.0
304800.0,822.0,810.0,448.0,0.0,0.0,0.0
305600.0,814.0,790.0,372.0,0.0,0.0,84.0
306400.0,824.0,811.0,196.0,0.0,0.0,203.0
307200.0,824.0,806.0,196.0,0.0,0.0,238.0
308000.0,827.0,781.0,252.0,310.0,0.0,56.0
308800.0,830.0,784.0,252.0,315.0,239.0,182.0
309600.0,823.0,793.0,252.0,567.0,55.0,0.0
310400.0,801.0,770.0,252.0,346.0,91.0,0.0
311200.0,807.0,725.0,252.0,238.0,0.0,0.0
312000.0,813.0,718.0,267.0,238.0,0.0,3.0
312800.0,822.0,733.0,369.0,238.0,0.0,166.0
313600.0,824.0,749.0,553.0,238.0,0.0,118.0
314400.0,799.0,735.0,553.0,238.0,0.0,14.0
315200.0,794.0,761.0,448.0,98.0,0.0,0.0
316000.0,806.0,829.0,231.0,294.0,92.0,0.0
316800.0,817.0,829.0,231.0,294.0,153.0,0.0
317600.0,830.0,802.0,392.0,294.0,0.0,0.0
318400.0,827.0,789.0,230.0,294.0,0.0,39.0
319200.0,821.0,743.0,0.0,294.0,0.0,206.0
320000.0,819.0,755.0,154.0,294.0,0.0,119.0
320800.0,813.0,769.0,293.0,294.0,250.0,0.0
321600.0,826.0,775.0,301.0,154.0,282.0,78.0
322400.0,833.0,761.0,301.0,154.0,0.0,27.0
323200.0,836.0,794.0,301.0,154.0,0.0,0.0
324000.0,832.0,792.0,301.0,154.0,0.0,106.0
324800.0,827.0,771.0,441.0,154.0,21.0,41.0
325600.0,800.0,741.0,404.0,154.0,392.0,70.0
326400.0,798.0,750.0,273.0,363.0,98.0,105.0
327200.0,805.0,769.0,273.0,325.0,0.0,0.0
328000.0,809.0,748.0,273.0,478.0,0.0,0.0
328800.0,813.0,764.0,273.0,511.0,0.0,0.0
329600.0,796.0,788.0,273.0,436.0,0.0,39.0
330400.0,792.0,794.0,273.0,192.0,0.0,3.0
331200.0,810.0,752.0,273.0,388.0,0.0,0.0
332000.0,812.0,739.0,273.0,229.0,0.0,154.0
332800.0,838.0,755.0,574.0,217.0,0.0,34.0
333600.0,836.0,772.0,440.0,217.0,0.0,120.0
334400.0,806.0,756.0,392.0,217.0,0.0,0.0
335200.0,820.0,776.0,392.0,217.0,231.0,0.0
336000.0,817.0,780.0,392.0,217.0,280.0,0.0
336800.0,816.0,732.0,392.0,638.0,0.0,0.0
337600.0,805.0,744.0,392.0,638.0,224.0,0.0
338400.0,789.0,759.0,392.0,638.0,0.0,91.0
339200.0,795.0,761.0,392.0,638.0,0.0,0.0
340000.0,793.0,718.0,175.0,638.0,6.0,91.0
340800.0,787.0,719.0,175.0,638.0,246.0,0.0
341600.0,775.0,732.0,344.0,638.0,162.0,0.0
342400.0,789.0,745.0,434.0,638.0,63.0,0.0
343200.0,806.0,735.0,245.0,638.0,0.0,0.0
344000.0,846.0,754.0,231.0,638.0,0.0,0.0
344800.0,878.0,766.0,231.0,332.0,0.0,0.0
345600.0,879.0,737.0,231.0,0.0,0.0,175.0
346400.0,838.0,729.0,231.0,147.0,0.0,49.0
347200.0,810.0,743.0,378.0,147.0,0.0,182.0
348000.0,810.0,727.0,504.0,147.0,237.0,56.0
348800.0,804.0,708.0,357.0,147.0,148.0,0.0
349600.0,806.0,691.0,357.0,147.0,126.0,0.0
350400.0,812.0,678.0,406.0,147.0,0.0,0.0
351200.0,812.0,676.0,406.0,244.0,0.0,0.0
352000.0,812.0,735.0,308.0,460.0,0.0,203.0
352800.0,819.0,803.0,308.0,638.0,0.0,134.0
353600.0,771.0,745.0,426.0,638.0,0.0,210.0
