TicksTime,PosB,PosA,ScoreB,ScoreA
31146,251,638,0,0
,,,,
31160,258,638,0,0
,,,,
31172,265,638,0,0
,,,,
31187,272,638,0,0
,,,,
31202,272,638,0,0
,,,,
31213,272,638,0,0
,,,,
31226,272,638,0,0
,,,,
31238,272,638,0,0
,,,,
31251,272,638,0,0
,,,,
31263,272,638,0,0
,,,,
31277,272,638,0,0
,,,,
31291,272,638,0,0
,,,,
31304,272,638,0,0
,,,,
31318,272,638,0,0
,,,,
31331,272,638,0,0
,,,,
31344,272,638,0,0
,,,,
31357,272,638,0,0
,,,,
31371,272,638,0,0
,,,,
31386,272,638,0,0
,,,,
31398,272,638,0,0
,,,,
31411,272,638,0,0
,,,,
31425,272,638,0,0
,,,,
31437,272,638,0,0
,,,,
31452,272,638,0,0
,,,,
31463,272,638,0,0
,,,,
31478,272,638,0,0
,,,,
31493,272,631,0,0
,,,,
31508,272,624,0,0
,,,,
31519,272,617,0,0
,,,,
31536,272,610,0,0
,,,,
31547,272,603,0,0
,,,,
31561,279,596,0,0
,,,,
31576,286,589,0,0
,,,,
31588,293,582,0,0
,,,,
31606,300,575,0,0
,,,,
31620,300,568,0,0
,,,,
31635,300,561,0,0
,,,,
31648,300,554,0,0
,,,,
31662,300,547,0,0
,,,,
31676,300,540,0,0
,,,,
31687,300,533,0,0
,,,,
31702,300,526,0,0
,,,,
31715,300,519,0,0
,,,,
31728,300,512,0,0
,,,,
31743,300,505,0,0
,,,,
31756,300,498,0,0
,,,,
31769,300,491,0,0
,,,,
31782,300,484,0,0
,,,,
31794,300,477,0,0
,,,,
31808,300,470,0,0
,,,,
31819,300,463,0,0
,,,,
31833,300,456,0,0
,,,,
31845,300,449,0,0
,,,,
31858,300,442,0,0
,,,,
31870,300,435,0,0
,,,,
31885,300,428,0,0
,,,,
31898,300,421,0,0
,,,,
31911,300,414,0,0
,,,,
31926,300,407,0,0
,,,,
31943,300,400,0,0
,,,,
31958,300,393,0,0
,,,,
31973,300,386,0,0
,,,,
31988,300,379,0,0
,,,,
32003,300,372,0,0
,,,,
32017,300,365,0,0
,,,,
32029,300,358,0,0
,,,,
32047,300,351,0,0
,,,,
32062,300,344,0,0
,,,,
32077,300,337,0,0
,,,,
32093,300,330,0,0
,,,,
32109,300,323,0,0
,,,,
32125,293,316,0,0
,,,,
32139,286,309,0,0
,,,,
32154,279,302,0,0
,,,,
32168,272,302,0,0
,,,,
32180,265,302,0,0
,,,,
32195,258,302,0,0
,,,,
32210,251,302,0,0
,,,,
32225,244,302,0,0
,,,,
32239,237,302,0,0
,,,,
32253,237,302,0,0
,,,,
32268,237,302,0,0
,,,,
32282,237,302,0,0
,,,,
32297,237,302,0,0
,,,,
32311,237,302,0,0
,,,,
32326,237,302,0,0
,,,,
32342,237,302,0,0
,,,,
32358,237,302,0,0
,,,,
32375,237,302,0,0
,,,,
32391,237,302,0,0
,,,,
32407,237,302,0,0
,,,,
32422,237,302,0,0
,,,,
32437,230,302,0,0
,,,,
32452,223,302,0,0
,,,,
32468,216,302,0,0
,,,,
32480,209,302,0,0
,,,,
32495,202,302,0,0
,,,,
32510,195,302,0,0
,,,,
32524,188,302,0,0
,,,,
32537,181,302,0,0
,,,,
32553,181,302,0,0
,,,,
32570,181,302,0,0
,,,,
32586,181,302,0,0
,,,,
32602,181,302,0,0
,,,,
32613,181,302,0,0
,,,,
32627,181,302,0,0
,,,,
32643,181,302,0,0
,,,,
32654,181,302,0,0
,,,,
32672,181,302,0,0
,,,,
32686,181,302,0,0
,,,,
32702,181,302,0,0
,,,,
32713,181,302,0,0
,,,,
32729,181,302,0,0
,,,,
32743,181,302,0,0
,,,,
32759,181,302,0,0
,,,,
32772,181,302,0,0
,,,,
32786,174,302,0,0
,,,,
32800,167,302,0,0
,,,,
32813,160,302,0,0
,,,,
32825,153,302,0,0
,,,,
32839,146,302,0,0
,,,,
32852,146,302,0,0
,,,,
32864,146,302,0,0
,,,,
32877,146,302,0,0
,,,,
32891,146,302,0,0
,,,,
32905,146,302,0,0
,,,,
32921,146,302,0,0
,,,,
32936,146,302,0,0
,,,,
32951,146,302,0,0
,,,,
32963,146,302,0,0
,,,,
32977,146,302,0,0
,,,,
32989,146,302,0,0
,,,,
33002,146,302,0,0
,,,,
33017,146,302,0,0
,,,,
33028,146,302,0,0
,,,,
33043,139,302,0,0
,,,,
33058,132,302,0,0
,,,,
33071,125,302,0,0
,,,,
33086,118,302,0,0
,,,,
33101,111,302,0,0
,,,,
33116,104,302,0,0
,,,,
33129,97,302,0,0
,,,,
33143,90,302,0,0
,,,,
33157,83,302,0,0
,,,,
33169,76,302,0,0
,,,,
33185,76,302,0,0
,,,,
33197,76,302,0,0
,,,,
33213,76,302,0,0
,,,,
33226,76,302,0,0
,,,,
33237,76,302,0,0
,,,,
33252,76,302,0,0
,,,,
33264,76,302,0,0
,,,,
33277,76,302,0,0
,,,,
33291,76,302,0,0
,,,,
33303,76,302,0,0
,,,,
33317,76,302,0,0
,,,,
33331,76,302,0,0
,,,,
33347,76,302,0,0
,,,,
33361,76,302,0,0
,,,,
33375,76,302,0,0
,,,,
33389,76,302,0,0
,,,,
33401,76,302,0,0
,,,,
33413,76,302,0,0
,,,,
33425,76,302,0,0
,,,,
33437,76,302,0,0
,,,,
33452,76,302,0,0
,,,,
33464,76,302,0,0
,,,,
33477,76,302,0,0
,,,,
33493,76,302,0,0
,,,,
33507,76,302,0,0
,,,,
33520,76,302,0,0
,,,,
33535,76,302,0,0
,,,,
33547,76,302,0,0
,,,,
33560,76,302,0,0
,,,,
33574,76,302,0,0
,,,,
33587,76,302,0,0
,,,,
33601,76,302,0,0
,,,,
33614,76,302,0,0
,,,,
33628,76,302,0,0
,,,,
33644,76,302,0,0
,,,,
33658,76,302,0,0
,,,,
33671,83,302,0,0
,,,,
33685,90,302,0,0
,,,,
33698,97,302,0,0
,,,,
33711,104,302,0,0
,,,,
33725,111,302,0,0
,,,,
33737,118,302,0,0
,,,,
33752,125,302,0,0
,,,,
33762,132,302,0,0
,,,,
33776,139,302,0,0
,,,,
33793,139,302,0,0
,,,,
33806,139,302,0,0
,,,,
33822,139,302,0,0
,,,,
33835,139,302,0,0
,,,,
33847,139,302,0,0
,,,,
33861,139,302,0,0
,,,,
33875,139,302,0,0
,,,,
33888,139,302,0,0
,,,,
33902,139,302,0,0
,,,,
33917,139,302,0,0
,,,,
33930,146,302,0,0
,,,,
33945,153,302,0,0
,,,,
33960,160,302,0,0
,,,,
33974,167,302,0,0
,,,,
33989,174,302,0,0
,,,,
34003,181,302,0,0
,,,,
34017,188,302,0,0
,,,,
34028,188,302,0,0
,,,,
34042,188,302,0,0
,,,,
34055,188,302,0,0
,,,,
34067,188,302,0,0
,,,,
34082,188,302,0,0
,,,,
34098,188,302,0,0
,,,,
34112,188,302,0,0
,,,,
34127,188,302,0,0
,,,,
34143,188,302,0,0
,,,,
34159,188,302,0,0
,,,,
