TicksTime,BallPosX,BallPosY,BallSpeed,PosF,PosPC,ScoreF,ScorePC
25681,799,20,4,118,516,0,0
,,,,,,,
25694,795,16,4,118,516,0,0
,,,,,,,
25708,791,12,4,118,516,0,0
,,,,,,,
25721,787,8,4,118,516,0,0
,,,,,,,
25735,783,12,4,118,516,0,0
,,,,,,,
25749,779,16,4,118,516,0,0
,,,,,,,
25760,775,20,4,118,516,0,0
,,,,,,,
25774,771,24,4,118,516,0,0
,,,,,,,
25789,767,28,4,118,516,0,0
,,,,,,,
25802,763,32,4,118,516,0,0
,,,,,,,
25817,759,36,4,118,516,0,0
,,,,,,,
25828,755,40,4,118,516,0,0
,,,,,,,
25840,751,44,4,118,516,0,0
,,,,,,,
25853,747,48,4,118,516,0,0
,,,,,,,
25868,743,52,4,118,516,0,0
,,,,,,,
25882,739,56,4,118,516,0,0
,,,,,,,
25894,735,60,4,118,516,0,0
,,,,,,,
25907,731,64,4,118,516,0,0
,,,,,,,
25921,727,68,4,118,516,0,0
,,,,,,,
25935,723,72,4,118,516,0,0
,,,,,,,
25948,719,76,4,118,516,0,0
,,,,,,,
25960,715,80,4,118,516,0,0
,,,,,,,
25974,711,84,4,118,516,0,0
,,,,,,,
25989,707,88,4,118,516,0,0
,,,,,,,
26002,703,92,4,118,516,0,0
,,,,,,,
26016,699,96,4,118,516,0,0
,,,,,,,
26029,695,100,4,118,516,0,0
,,,,,,,
26042,691,104,4,118,516,0,0
,,,,,,,
26056,687,108,4,118,516,0,0
,,,,,,,
26067,683,112,4,118,516,0,0
,,,,,,,
26081,679,116,4,118,516,0,0
,,,,,,,
26093,675,120,4,118,516,0,0
,,,,,,,
26107,671,124,4,118,516,0,0
,,,,,,,
26119,667,128,4,118,516,0,0
,,,,,,,
26132,663,132,4,118,516,0,0
,,,,,,,
26144,659,136,4,118,516,0,0
,,,,,,,
26158,655,140,4,118,516,0,0
,,,,,,,
26171,651,144,4,125,516,0,0
,,,,,,,
26183,647,148,4,132,516,0,0
,,,,,,,
26196,643,152,4,139,516,0,0
,,,,,,,
26210,639,156,4,146,516,0,0
,,,,,,,
26224,635,160,4,153,516,0,0
,,,,,,,
26238,631,164,4,160,516,0,0
,,,,,,,
26250,627,168,4,167,516,0,0
,,,,,,,
26265,623,172,4,174,516,0,0
,,,,,,,
26276,619,176,4,181,516,0,0
,,,,,,,
26290,615,180,4,188,516,0,0
,,,,,,,
26305,611,184,4,195,516,0,0
,,,,,,,
26317,607,188,4,202,516,0,0
,,,,,,,
26332,603,192,4,209,516,0,0
,,,,,,,
26343,599,196,4,216,516,0,0
,,,,,,,
26356,595,200,4,223,516,0,0
,,,,,,,
26367,591,204,4,230,516,0,0
,,,,,,,
26382,587,208,4,237,516,0,0
,,,,,,,
26394,583,212,4,244,516,0,0
,,,,,,,
26407,579,216,4,251,516,0,0
,,,,,,,
26420,575,220,4,258,516,0,0
,,,,,,,
26433,571,224,4,265,516,0,0
,,,,,,,
26448,567,228,4,272,516,0,0
,,,,,,,
26460,563,232,4,279,516,0,0
,,,,,,,
26474,559,236,4,286,516,0,0
,,,,,,,
26488,555,240,4,293,516,0,0
,,,,,,,
26501,551,244,4,300,516,0,0
,,,,,,,
26514,547,248,4,307,516,0,0
,,,,,,,
26527,543,252,4,314,516,0,0
,,,,,,,
26541,539,256,4,321,516,0,0
,,,,,,,
26552,535,260,4,328,516,0,0
,,,,,,,
26566,531,264,4,335,516,0,0
,,,,,,,
26581,527,268,4,342,516,0,0
,,,,,,,
26593,523,272,4,349,516,0,0
,,,,,,,
26606,519,276,4,356,516,0,0
,,,,,,,
26618,515,280,4,363,516,0,0
,,,,,,,
26632,511,284,4,370,516,0,0
,,,,,,,
26644,507,288,4,377,516,0,0
,,,,,,,
26659,503,292,4,384,516,0,0
,,,,,,,
26673,499,296,4,391,516,0,0
,,,,,,,
26686,495,300,4,398,516,0,0
,,,,,,,
26700,491,304,4,405,516,0,0
,,,,,,,
26712,487,308,4,412,516,0,0
,,,,,,,
26725,483,312,4,419,516,0,0
,,,,,,,
26739,479,316,4,426,516,0,0
,,,,,,,
26753,475,320,4,426,516,0,0
,,,,,,,
26767,471,324,4,426,516,0,0
,,,,,,,
26780,467,328,4,426,516,0,0
,,,,,,,
26793,463,332,4,426,516,0,0
,,,,,,,
26807,459,336,4,426,516,0,0
,,,,,,,
26822,455,340,4,426,516,0,0
,,,,,,,
26838,451,344,4,426,516,0,0
,,,,,,,
26852,447,348,4,426,516,0,0
,,,,,,,
26867,443,352,4,426,516,0,0
,,,,,,,
26883,439,356,4,426,516,0,0
,,,,,,,
26897,435,360,4,426,516,0,0
,,,,,,,
26910,431,364,4,426,516,0,0
,,,,,,,
26925,427,368,4,426,516,0,0
,,,,,,,
26942,423,372,4,426,516,0,0
,,,,,,,
26959,419,376,4,426,516,0,0
,,,,,,,
26974,415,380,4,426,516,0,0
,,,,,,,
26987,411,384,4,426,516,0,0
,,,,,,,
27003,407,388,4,426,516,0,0
,,,,,,,
27017,403,392,4,426,516,0,0
,,,,,,,
27034,399,396,4,426,516,0,0
,,,,,,,
27049,395,400,4,426,516,0,0
,,,,,,,
27064,391,404,4,426,516,0,0
,,,,,,,
27077,387,408,4,426,516,0,0
,,,,,,,
27091,383,412,4,426,516,0,0
,,,,,,,
27102,379,416,4,426,516,0,0
,,,,,,,
27118,375,420,4,426,516,0,0
,,,,,,,
27133,371,424,4,426,516,0,0
,,,,,,,
27147,367,428,4,426,516,0,0
,,,,,,,
27160,363,432,4,426,516,0,0
,,,,,,,
27174,359,436,4,433,516,0,0
,,,,,,,
27189,355,440,4,440,516,0,0
,,,,,,,
27205,351,444,4,447,516,0,0
,,,,,,,
27220,347,448,4,454,516,0,0
,,,,,,,
27233,343,452,4,461,516,0,0
,,,,,,,
27248,339,456,4,468,516,0,0
,,,,,,,
27260,335,460,4,475,516,0,0
,,,,,,,
27273,331,464,4,482,516,0,0
,,,,,,,
27288,327,468,4,489,516,0,0
,,,,,,,
27300,323,472,4,496,516,0,0
,,,,,,,
27314,319,476,4,503,516,0,0
,,,,,,,
27326,315,480,4,510,516,0,0
,,,,,,,
27340,311,484,4,517,516,0,0
,,,,,,,
27351,307,488,4,524,516,0,0
,,,,,,,
27365,303,492,4,531,516,0,0
,,,,,,,
27377,299,496,4,538,516,0,0
,,,,,,,
27390,295,500,4,545,516,0,0
,,,,,,,
27401,291,504,4,552,516,0,0
,,,,,,,
27416,287,508,4,559,516,0,0
,,,,,,,
27429,283,512,4,566,516,0,0
,,,,,,,
27441,279,516,4,573,516,0,0
,,,,,,,
27452,275,520,4,580,516,0,0
,,,,,,,
27466,271,524,4,587,516,0,0
,,,,,,,
27480,267,528,4,594,516,0,0
,,,,,,,
27492,263,532,4,601,516,0,0
,,,,,,,
27506,259,536,4,608,516,0,0
,,,,,,,
27520,255,540,4,615,516,0,0
,,,,,,,
27534,251,544,4,622,516,0,0
,,,,,,,
27547,247,548,4,629,516,0,0
,,,,,,,
27559,243,552,4,636,516,0,0
,,,,,,,
27573,239,556,4,638,516,0,0
,,,,,,,
27587,235,560,4,638,516,0,0
,,,,,,,
27600,231,564,4,638,516,0,0
,,,,,,,
27614,227,568,4,638,516,0,0
,,,,,,,
27626,223,572,4,638,516,0,0
,,,,,,,
27640,219,576,4,638,516,0,0
,,,,,,,
27651,215,580,4,638,516,0,0
,,,,,,,
27666,211,584,4,638,516,0,0
,,,,,,,
27679,207,588,4,638,516,0,0
,,,,,,,
27691,203,592,4,638,516,0,0
,,,,,,,
27705,199,596,4,638,516,0,0
,,,,,,,
27718,195,600,4,638,516,0,0
,,,,,,,
27733,191,604,4,638,516,0,0
,,,,,,,
27744,187,608,4,638,516,0,0
,,,,,,,
27757,183,612,4,638,516,0,0
,,,,,,,
27771,179,616,4,638,516,0,0
,,,,,,,
27784,175,620,4,638,516,0,0
,,,,,,,
27799,171,624,4,638,516,0,0
,,,,,,,
27809,167,628,4,638,516,0,0
,,,,,,,
27822,163,632,4,638,516,0,0
,,,,,,,
27834,159,636,4,638,516,0,0
,,,,,,,
27848,155,640,4,638,516,0,0
,,,,,,,
27860,151,644,4,638,516,0,0
,,,,,,,
27872,147,648,4,638,516,0,0
,,,,,,,
27885,143,652,4,638,516,0,0
,,,,,,,
27898,139,656,4,638,516,0,0
,,,,,,,
27912,135,660,4,638,516,0,0
,,,,,,,
27925,131,664,4,638,516,0,0
,,,,,,,
27939,127,668,4,638,516,0,0
,,,,,,,
27952,123,672,4,638,516,0,0
,,,,,,,
27966,119,676,4,638,516,0,0
,,,,,,,
27981,115,680,4,638,516,0,0
,,,,,,,
27993,111,684,4,638,516,0,0
,,,,,,,
28006,107,688,4,638,516,0,0
,,,,,,,
28019,103,692,4,638,516,0,0
,,,,,,,
28032,99,696,4,638,516,0,0
,,,,,,,
28046,95,700,4,638,516,0,0
,,,,,,,
28058,91,704,4,638,516,0,0
,,,,,,,
28071,87,708,4,638,516,0,0
,,,,,,,
28083,83,712,4,638,516,0,0
,,,,,,,
28097,79,716,4,638,516,0,0
,,,,,,,
28109,75,720,4,638,516,0,0
,,,,,,,
28122,71,724,4,638,516,0,0
,,,,,,,
28134,67,728,4,638,516,0,0
,,,,,,,
28148,71,732,4,638,516,0,0
,,,,,,,
28160,75,736,4,638,516,0,0
,,,,,,,
28173,79,740,4,638,516,0,0
,,,,,,,
28186,83,744,4,638,516,0,0
,,,,,,,
28200,87,748,4,638,516,0,0
,,,,,,,
28214,91,752,4,638,516,0,0
,,,,,,,
28225,95,756,4,638,516,0,0
,,,,,,,
28239,99,760,4,638,516,0,0
,,,,,,,
28251,103,756,4,638,516,0,0
,,,,,,,
28266,107,752,4,638,516,0,0
,,,,,,,
28277,111,748,4,638,516,0,0
,,,,,,,
28290,115,744,4,638,516,0,0
,,,,,,,
28305,119,740,4,638,516,0,0
,,,,,,,
28319,123,736,4,638,516,0,0
,,,,,,,
28334,127,732,4,638,516,0,0
,,,,,,,
28348,131,728,4,638,516,0,0
,,,,,,,
28359,135,724,4,638,516,0,0
,,,,,,,
28373,139,720,4,638,516,0,0
,,,,,,,
28386,143,716,4,638,516,0,0
,,,,,,,
28400,147,712,4,638,516,0,0
,,,,,,,
28413,151,708,4,638,516,0,0
,,,,,,,
28425,155,704,4,638,516,0,0
,,,,,,,
28439,159,700,4,638,516,0,0
,,,,,,,
28451,163,696,4,638,516,0,0
,,,,,,,
28465,167,692,4,638,516,0,0
,,,,,,,
28479,171,688,4,638,516,0,0
,,,,,,,
28492,175,684,4,638,516,0,0
,,,,,,,
28508,179,680,4,638,516,0,0
,,,,,,,
28522,183,676,4,638,516,0,0
,,,,,,,
28535,187,672,4,638,516,0,0
,,,,,,,
28549,191,668,4,638,516,0,0
,,,,,,,
28560,195,664,4,638,516,0,0
,,,,,,,
28574,199,660,4,638,516,0,0
,,,,,,,
28588,203,656,4,638,516,0,0
,,,,,,,
28601,207,652,4,638,516,0,0
,,,,,,,
28614,211,648,4,638,516,0,0
,,,,,,,
28626,215,644,4,638,516,0,0
,,,,,,,
28639,219,640,4,638,516,0,0
,,,,,,,
28652,223,636,4,638,516,0,0
,,,,,,,
28667,227,632,4,638,516,0,0
,,,,,,,
28681,231,628,4,638,516,0,0
,,,,,,,
28694,235,624,4,638,516,0,0
,,,,,,,
28708,239,620,4,638,516,0,0
,,,,,,,
28721,243,616,4,638,516,0,0
,,,,,,,
28734,247,612,4,638,516,0,0
,,,,,,,
28748,251,608,4,638,516,0,0
,,,,,,,
28759,255,604,4,638,516,0,0
,,,,,,,
28772,259,600,4,638,516,0,0
,,,,,,,
28784,263,596,4,638,516,0,0
,,,,,,,
28798,267,592,4,638,516,0,0
,,,,,,,
28811,271,588,4,638,516,0,0
,,,,,,,
28825,275,584,4,638,516,0,0
